Player_Name,player_id,Skills
"SL Malinga",194,26477
"PP Chawla",67,24720
"A Mishra",136,24660
"DW Steyn",94,23749
"IK Pathan",29,18909
"M Morkel",190,18689
"A Nehra",73,16578
"MG Johnson",357,14602
"PP Ojha",131,13615
"Z Khan",15,12180
"RA Jadeja",35,12131
"RP Singh",61,11244
"DJ Bravo",71,10550
"B Lee",66,10076
"DP Nannes",223,9646
"RJ Harris",188,9515
"PJ Sangwan",116,9438
"JD Unadkat",346,9308
"JA Morkel",109,9030
"AB Agarkar",82,9020
"MA Starc",378,8568
"VR Aaron",296,8525
"M Kartik",83,8274
"R Bhatia",89,8090
"L Balaji",151,7870
